Timestamp,Name,CPUPerc,MemUsage,NetIO,BlockIO
2026-04-30 15:00:08,couchdb.peer0.org1,236.49%,85.88MiB / 7.133GiB,5.68MB / 4.99MB,50.7MB / 97.9MB
2026-04-30 15:00:08,couchdb.peer1.org2,168.12%,65.88MiB / 7.133GiB,2.41MB / 2.35MB,43.9MB / 60.5MB
2026-04-30 15:00:08,couchdb.peer0.org2,167.04%,66.74MiB / 7.133GiB,2.41MB / 2.35MB,30.3MB / 54.8MB
2026-04-30 15:00:08,couchdb.peer1.org1,198.42%,87.47MiB / 7.133GiB,5.44MB / 4.58MB,39.3MB / 79.2MB
2026-04-30 15:00:08,nats.org1.esign.com,3.94%,7.996MiB / 7.133GiB,42.6kB / 46.3kB,6.69MB / 315kB
2026-04-30 15:00:08,orderer.esign.com,7.43%,37.91MiB / 7.133GiB,8.45MB / 16.2MB,47.3MB / 30.1MB
2026-04-30 15:00:08,nats.org2.esign.com,4.03%,7.082MiB / 7.133GiB,43.4kB / 47.5kB,7.35MB / 741kB
2026-04-30 15:00:16,bold_shamir,2.12%,581.9MiB / 7.133GiB,4.7MB / 5MB,68.8MB / 11.7MB
2026-04-30 15:00:16,dev-peer0.org1.esign.com-basic_1.0-41479698950150d988153a842a648c0707acfb05c38fe40865898c1e1df496b9,0.00%,25.21MiB / 7.133GiB,6.74MB / 5.79MB,17.5MB / 57.3kB
2026-04-30 15:00:16,dev-peer1.org1.esign.com-basic_1.0-41479698950150d988153a842a648c0707acfb05c38fe40865898c1e1df496b9,0.00%,4.02MiB / 7.133GiB,15.5kB / 10.4kB,8.19MB / 786kB
2026-04-30 15:00:16,dev-peer1.org2.esign.com-basic_1.0-41479698950150d988153a842a648c0707acfb05c38fe40865898c1e1df496b9,0.00%,2.422MiB / 7.133GiB,16.4kB / 11.4kB,8.2MB / 2.41MB
2026-04-30 15:00:16,dev-peer0.org2.esign.com-basic_1.0-41479698950150d988153a842a648c0707acfb05c38fe40865898c1e1df496b9,0.00%,17.14MiB / 7.133GiB,15.5kB / 10.5kB,16MB / 664kB
2026-04-30 15:00:16,app-node,0.00%,14.77MiB / 7.133GiB,99.4kB / 61.8kB,55.2MB / 33MB
2026-04-30 15:00:16,cli,0.00%,1.887MiB / 7.133GiB,7.81kB / 126B,1.2MB / 0B
2026-04-30 15:00:16,peer0.org2.esign.com,1.32%,114MiB / 7.133GiB,15.6MB / 6.74MB,14.9MB / 19.9MB
2026-04-30 15:00:16,peer1.org2.esign.com,1.16%,98.65MiB / 7.133GiB,15.6MB / 15.7MB,41.2MB / 45.5MB
2026-04-30 15:00:16,peer1.org1.esign.com,1.25%,124.1MiB / 7.133GiB,22.4MB / 10.9MB,12.6MB / 97.9MB
2026-04-30 15:00:16,peer0.org1.esign.com,1.95%,142.7MiB / 7.133GiB,42.8MB / 50.7MB,12.5MB / 87.8MB
2026-04-30 15:00:16,couchdb.peer0.org1,1.58%,96.54MiB / 7.133GiB,6.5MB / 5.56MB,57.5MB / 115MB
2026-04-30 15:00:16,couchdb.peer1.org2,2.15%,68.88MiB / 7.133GiB,2.76MB / 2.66MB,47.5MB / 73.7MB
2026-04-30 15:00:16,couchdb.peer0.org2,1.41%,70.25MiB / 7.133GiB,2.76MB / 2.66MB,32.7MB / 67.7MB
2026-04-30 15:00:16,couchdb.peer1.org1,2.55%,100.7MiB / 7.133GiB,6.46MB / 5.16MB,42.4MB / 96.8MB
2026-04-30 15:00:16,nats.org1.esign.com,0.19%,8.496MiB / 7.133GiB,42.6kB / 46.3kB,6.69MB / 315kB
2026-04-30 15:00:16,orderer.esign.com,0.11%,40.42MiB / 7.133GiB,9.68MB / 18.6MB,47.3MB / 33.2MB
2026-04-30 15:00:16,nats.org2.esign.com,0.07%,7.367MiB / 7.133GiB,43.4kB / 47.5kB,7.36MB / 741kB
2026-04-30 15:00:24,bold_shamir,0.05%,580.7MiB / 7.133GiB,4.7MB / 5MB,68.8MB / 11.7MB
2026-04-30 15:00:24,dev-peer0.org1.esign.com-basic_1.0-41479698950150d988153a842a648c0707acfb05c38fe40865898c1e1df496b9,0.00%,25.21MiB / 7.133GiB,6.74MB / 5.79MB,17.5MB / 57.3kB
2026-04-30 15:00:24,dev-peer1.org1.esign.com-basic_1.0-41479698950150d988153a842a648c0707acfb05c38fe40865898c1e1df496b9,0.00%,4.02MiB / 7.133GiB,15.5kB / 10.4kB,8.19MB / 786kB
2026-04-30 15:00:24,dev-peer1.org2.esign.com-basic_1.0-41479698950150d988153a842a648c0707acfb05c38fe40865898c1e1df496b9,0.00%,2.422MiB / 7.133GiB,16.4kB / 11.4kB,8.2MB / 2.41MB
2026-04-30 15:00:24,dev-peer0.org2.esign.com-basic_1.0-41479698950150d988153a842a648c0707acfb05c38fe40865898c1e1df496b9,0.03%,17.39MiB / 7.133GiB,15.6kB / 10.6kB,16MB / 664kB
